date,option_type,investor_type,oi_buy_volume,oi_buy_value_k,oi_sell_volume,oi_sell_value_k,oi_net_volume,oi_net_value_k
2026/09/10,call,dealer,32059,1240432,23171,932283,8888,308149
2026/09/10,call,foreign,9433,362946,11392,679903,-1959,-316957
2026/09/10,put,dealer,23244,286559,22253,226442,991,60117
2026/09/10,put,foreign,8256,141278,6560,60015,1696,81263
2026/09/11,call,dealer,28138,1083627,18019,792629,10119,290998
2026/09/11,call,foreign,8021,287589,10171,526316,-2150,-238727
2026/09/11,put,dealer,19392,342525,20446,283840,-1054,58685
2026/09/11,put,foreign,7409,189368,5228,65665,2181,123703
2026/09/14,call,dealer,33342,953929,21956,758939,11386,194990
2026/09/14,call,foreign,10276,301132,11147,427100,-871,-125968
2026/09/14,put,dealer,21792,403001,25899,373410,-4107,29591
2026/09/14,put,foreign,8263,221106,6299,88426,1964,132680
2026/09/15,call,dealer,36357,890303,26026,729622,10331,160681
2026/09/15,call,foreign,11755,280592,11935,385329,-180,-104737
2026/09/15,put,dealer,23487,422092,31130,406091,-7643,16001
2026/09/15,put,foreign,9720,230932,6915,98072,2805,132860
2026/09/16,call,dealer,17896,597703,10987,269653,6909,328050
2026/09/16,call,foreign,4408,154373,6569,276603,-2161,-122230
2026/09/16,put,dealer,12470,213852,13616,244719,-1146,-30867
2026/09/16,put,foreign,3213,148695,1871,57759,1342,90936
2026/09/17,call,dealer,29063,877431,21735,544269,7328,333162
2026/09/17,call,foreign,8674,359859,10782,467886,-2108,-108027
2026/09/17,put,dealer,17550,303215,19316,188773,-1766,114442
2026/09/17,put,foreign,7052,125105,4380,92477,2672,32628
2026/09/18,call,dealer,21349,1033106,13704,680209,7645,352897
2026/09/18,call,foreign,7608,436549,9925,591794,-2317,-155245
2026/09/18,put,dealer,14036,210735,12080,135602,1956,75133
2026/09/18,put,foreign,4402,78385,3330,47957,1072,30428
