date,expiry,strike,option_type,open_interest
2026/09/10,20260911,41200,call,0
2026/09/10,20260911,41200,put,79
2026/09/10,20260911,41300,call,0
2026/09/10,20260911,41300,put,55
2026/09/10,20260911,41400,call,0
2026/09/10,20260911,41400,put,31
2026/09/10,20260911,41500,call,0
2026/09/10,20260911,41500,put,33
2026/09/10,20260911,41600,call,0
2026/09/10,20260911,41600,put,13
2026/09/10,20260911,41700,call,0
2026/09/10,20260911,41700,put,7
2026/09/10,20260911,41800,call,0
2026/09/10,20260911,41800,put,15
2026/09/10,20260911,41900,call,0
2026/09/10,20260911,41900,put,6
2026/09/10,20260911,42000,call,0
2026/09/10,20260911,42000,put,33
2026/09/10,20260911,42100,call,0
2026/09/10,20260911,42100,put,13
2026/09/10,20260911,42200,call,0
2026/09/10,20260911,42200,put,8
2026/09/10,20260911,42300,call,0
2026/09/10,20260911,42300,put,14
2026/09/10,20260911,42400,call,0
2026/09/10,20260911,42400,put,12
2026/09/10,20260911,42500,call,0
2026/09/10,20260911,42500,put,46
2026/09/10,20260911,42600,call,0
2026/09/10,20260911,42600,put,99
2026/09/10,20260911,42700,call,0
2026/09/10,20260911,42700,put,18
2026/09/10,20260911,42800,call,0
2026/09/10,20260911,42800,put,25
2026/09/10,20260911,42900,call,0
2026/09/10,20260911,42900,put,18
2026/09/10,20260911,43000,call,0
2026/09/10,20260911,43000,put,40
2026/09/10,20260911,43100,call,0
2026/09/10,20260911,43100,put,15
2026/09/10,20260911,43200,call,0
2026/09/10,20260911,43200,put,16
2026/09/10,20260911,43300,call,0
2026/09/10,20260911,43300,put,52
2026/09/10,20260911,43400,call,0
2026/09/10,20260911,43400,put,78
2026/09/10,20260911,43500,call,0
2026/09/10,20260911,43500,put,93
2026/09/10,20260911,43600,call,0
2026/09/10,20260911,43600,put,18
2026/09/10,20260911,43700,call,0
2026/09/10,20260911,43700,put,67
2026/09/10,20260911,43800,call,0
2026/09/10,20260911,43800,put,88
2026/09/10,20260911,43900,call,0
2026/09/10,20260911,43900,put,51
2026/09/10,20260911,44000,call,0
2026/09/10,20260911,44000,put,191
2026/09/10,20260911,44100,call,0
2026/09/10,20260911,44100,put,33
2026/09/10,20260911,44200,call,1
2026/09/10,20260911,44200,put,57
2026/09/10,20260911,44300,call,0
2026/09/10,20260911,44300,put,131
2026/09/10,20260911,44400,call,0
2026/09/10,20260911,44400,put,294
2026/09/10,20260911,44500,call,0
2026/09/10,20260911,44500,put,144
2026/09/10,20260911,44550,call,0
2026/09/10,20260911,44550,put,22
2026/09/10,20260911,44600,call,0
2026/09/10,20260911,44600,put,59
2026/09/10,20260911,44650,call,0
2026/09/10,20260911,44650,put,115
2026/09/10,20260911,44700,call,0
2026/09/10,20260911,44700,put,386
2026/09/10,20260911,44750,call,0
2026/09/10,20260911,44750,put,132
2026/09/10,20260911,44800,call,0
2026/09/10,20260911,44800,put,805
2026/09/10,20260911,44850,call,0
2026/09/10,20260911,44850,put,40
2026/09/10,20260911,44900,call,0
2026/09/10,20260911,44900,put,156
2026/09/10,20260911,44950,call,0
2026/09/10,20260911,44950,put,76
2026/09/10,20260911,45000,call,351
2026/09/10,20260911,45000,put,2160
2026/09/10,20260911,45050,call,0
2026/09/10,20260911,45050,put,255
2026/09/10,20260911,45100,call,1
2026/09/10,20260911,45100,put,471
2026/09/10,20260911,45150,call,0
2026/09/10,20260911,45150,put,146
2026/09/10,20260911,45200,call,2
2026/09/10,20260911,45200,put,341
2026/09/10,20260911,45250,call,0
2026/09/10,20260911,45250,put,149
2026/09/10,20260911,45300,call,2
2026/09/10,20260911,45300,put,286
2026/09/10,20260911,45350,call,0
2026/09/10,20260911,45350,put,121
2026/09/10,20260911,45400,call,371
2026/09/10,20260911,45400,put,384
2026/09/10,20260911,45450,call,0
2026/09/10,20260911,45450,put,80
2026/09/10,20260911,45500,call,2
2026/09/10,20260911,45500,put,946
2026/09/10,20260911,45550,call,0
2026/09/10,20260911,45550,put,224
2026/09/10,20260911,45600,call,2
2026/09/10,20260911,45600,put,450
